                            mean          std         2.5q          25q          50q         75q      97.5q       mc err
a_subj.22                2.22369     0.100645      2.03948      2.15483      2.22051     2.28754    2.44087   0.00294289
a_subj.23                3.49993     0.157355      3.21563      3.39383      3.49388     3.59564    3.83998     0.004947
a_subj.24                2.01796    0.0699189      1.88835      1.96971      2.01587     2.06332    2.16401   0.00156859
a_subj.25                3.40284     0.124399      3.17475       3.3151      3.40101     3.48318    3.66171   0.00329139
a_subj.26                3.49176     0.124101      3.25832       3.4082      3.49052     3.57138    3.74702   0.00358963
a_subj.27                2.24188    0.0777785      2.09663      2.18958      2.24005     2.29301    2.39869    0.0021885
a_subj.28                2.16895    0.0725661      2.03024       2.1206      2.16721     2.21732    2.31899   0.00152309
a_subj.29                1.99006      0.07135      1.85108       1.9401      1.98861     2.03933    2.13229    0.0014309
a_subj.30                2.37833     0.100018      2.19248      2.30685      2.37426     2.44494    2.58176   0.00282498
a_subj.31                1.84659    0.0681709      1.72025      1.79878      1.84521     1.89066     1.9881    0.0017396
a_subj.32                2.38403    0.0952228      2.20218      2.31898      2.38284     2.44506    2.57689   0.00239482
a_subj.33                2.24656    0.0780931      2.10397      2.19383      2.24437     2.29509    2.40696   0.00189592
a_subj.34                2.19607    0.0878105      2.03409      2.13666      2.19277     2.25071    2.37711   0.00197643
a_subj.35                2.75617     0.114418      2.54198      2.67645      2.75535     2.83363    2.98795   0.00333508
a_subj.36                2.69191    0.0943274      2.51755      2.62602      2.69002     2.75322    2.88701   0.00224837
a_subj.37                1.72966    0.0581205      1.61794      1.68891      1.73043     1.76853    1.84785   0.00125931
a_subj.38                2.85804     0.116032       2.6367      2.77839      2.85652     2.93308    3.08846   0.00350051
a_subj.39                2.51776    0.0964563       2.3411      2.45043      2.51323     2.57858     2.7216   0.00294761
t                       0.384234    0.0524569     0.295858     0.348777     0.379571    0.414937   0.500918   0.00166444
t_std                    0.33955    0.0666939      0.23748     0.293466     0.329851    0.375049   0.497033   0.00241711
t_subj.1                 0.30267    0.0152079     0.268285     0.293456     0.304064    0.313346   0.328415  0.000406325
t_subj.2                 0.52675    0.0216216     0.482044      0.51254     0.528169    0.542056   0.564772  0.000508917
t_subj.3                 0.37601    0.0316507     0.311837     0.355216     0.376983    0.398302   0.434656  0.000793997
t_subj.4                0.368361    0.0129738     0.340281     0.360292     0.369047    0.377692   0.391454  0.000310482
t_subj.5                0.474464    0.0131802     0.445607     0.466378     0.475477    0.483902    0.49657  0.000293831
t_subj.6                0.508571    0.0156886     0.473808     0.499277     0.510196    0.519795   0.534449  0.000338521
t_subj.7                0.505508    0.0238655     0.452432      0.49063     0.507806    0.522631   0.545468  0.000624075
t_subj.8                0.134097    0.0423707    0.0477389     0.105428     0.136616    0.163449   0.211807   0.00117364
t_subj.9                0.439838    0.0264241     0.384062     0.422996     0.440987    0.458516   0.486659  0.000703593
t_subj.10               0.139579    0.0404709    0.0556505      0.11343     0.141384    0.168685   0.214255   0.00108795
t_subj.11            0.000820885  0.000704115   2.8867e-05  0.000293165  0.000641863  0.00114395  0.0026399  1.66618e-05
t_subj.12               0.287847    0.0341794     0.214492     0.266649     0.289234    0.312658   0.347686  0.000868819
t_subj.13               0.307325    0.0262243     0.251031     0.291095     0.309071    0.326195   0.352189  0.000648439
t_subj.14               0.305846     0.039359     0.222856     0.281405     0.307694    0.334342   0.376547   0.00104734
t_subj.15               0.409983    0.0366378     0.331918     0.387077     0.412305    0.436164   0.472785  0.000916727
t_subj.16              0.0186958    0.0146708  0.000817558   0.00747168    0.0152736   0.0264842  0.0554092  0.000342558
t_subj.17               0.370558    0.0236292     0.319429     0.355863     0.371932    0.387451   0.412301  0.000605336
t_subj.18               0.012593   0.00988298  0.000507516    0.0048966    0.0101983   0.0181506  0.0368708  0.000243984
t_subj.19               0.544165    0.0239518     0.491074     0.529041      0.54636    0.561231   0.585285  0.000557401
t_subj.20               0.479586    0.0186453     0.439958      0.46785      0.48033    0.492432   0.513313  0.000452315
t_subj.21               0.014053    0.0109669  0.000614182   0.00557156    0.0113859   0.0200507  0.0413188  0.000263198
t_subj.22               0.216302    0.0175187     0.177938     0.205549      0.21747    0.228399   0.247189  0.000504491
t_subj.23               0.330185    0.0431852     0.233757     0.302558      0.33435    0.361073   0.402899   0.00128106
t_subj.24               0.366302    0.0126509      0.33848     0.358476     0.367573     0.37526   0.387208    0.0002671
t_subj.25               0.348538    0.0429335     0.258399     0.320497     0.352165    0.378675   0.425549   0.00106574
t_subj.26               0.266767    0.0554309       0.1505      0.23186     0.269542    0.304342   0.366826     0.001481
t_subj.27                 0.2664    0.0238201     0.213293     0.251942     0.268081    0.283262   0.308674  0.000684472
t_subj.28               0.522387    0.0124072     0.494526     0.514893     0.523587    0.531184   0.542876  0.000267421
t_subj.29               0.444714    0.0137843     0.415774     0.436137     0.445635     0.45433   0.470002  0.000279974
t_subj.30               0.484066    0.0241094     0.434089     0.468309     0.485302    0.501631   0.527171  0.000674462
t_subj.31               0.570079    0.0129564      0.54255     0.562024     0.570946    0.579331   0.592306  0.000337323
t_subj.32               0.629105    0.0213289     0.583955     0.615732     0.630102    0.643873   0.666081  0.000535532
t_subj.33               0.561057    0.0170534     0.523564     0.550762     0.562673    0.573066   0.590093  0.000383328
t_subj.34               0.504878    0.0170693     0.467641     0.494515      0.50612    0.516929   0.534182  0.000386639
t_subj.35                0.52274    0.0312061     0.456593     0.502346     0.524268    0.544216   0.581111  0.000921319
t_subj.36               0.415665    0.0248442     0.362578     0.399989     0.416827    0.433078   0.460151  0.000561875
t_subj.37               0.445904    0.0118198     0.420092     0.438364     0.446868    0.454354   0.465849  0.000266596
t_subj.38               0.530979    0.0374468      0.45356     0.507244     0.532667     0.55755   0.599057   0.00113294
t_subj.39               0.491412    0.0257938     0.436304     0.474954     0.493719    0.509476   0.537196  0.000752673
v_Intercept            -0.285757     0.113007    -0.513773     -0.35928    -0.283593     -0.2129 -0.0622006   0.00240476
v_Intercept_std          0.67952    0.0861557     0.530835     0.618046     0.672566    0.734106   0.868667   0.00209597
v_Intercept_subj.1       1.34219     0.186826     0.974625      1.21886      1.34437     1.46681    1.70923   0.00862144
v_Intercept_subj.2     0.0451621     0.149204    -0.253928   -0.0517251    0.0446368     0.14773    0.33318   0.00611882
v_Intercept_subj.3       -0.7428     0.137149     -1.00709    -0.835161    -0.743443   -0.646664   -0.48536    0.0064009
v_Intercept_subj.4       -0.9404     0.181198     -1.28985     -1.06427    -0.942166   -0.819252   -0.57998   0.00805057
v_Intercept_subj.5     -0.913861     0.158954     -1.22309     -1.02185    -0.912043   -0.807611  -0.597659   0.00746694
v_Intercept_subj.6    -0.0423856     0.151474    -0.333496    -0.148097   -0.0394719   0.0623538   0.257516   0.00668479
v_Intercept_subj.7     0.0543639     0.130897    -0.197202   -0.0343998    0.0557649    0.141923   0.311196   0.00643322
v_Intercept_subj.8      -1.05455     0.128527     -1.30467      -1.1432       -1.053    -0.96545  -0.800633   0.00661283
v_Intercept_subj.9     -0.227092     0.134167    -0.488366     -0.31852    -0.227418   -0.134333  0.0341684    0.0057108
v_Intercept_subj.10     -1.22248     0.128325     -1.46241     -1.31334     -1.22235    -1.13145  -0.979856   0.00637197
v_Intercept_subj.11     -1.12739     0.153279     -1.41442     -1.23449     -1.13076    -1.02826  -0.813642   0.00695393
v_Intercept_subj.12   -0.0626896     0.107973    -0.272409     -0.13463   -0.0623445  0.00778668   0.145274    0.0050499
v_Intercept_subj.13    -0.750225      0.13072     -1.00485    -0.839387     -0.74809   -0.660418  -0.499411   0.00564244
v_Intercept_subj.14    -0.444015     0.124448    -0.695464    -0.523623    -0.441509    -0.36212  -0.193971    0.0060027
v_Intercept_subj.15    0.0436785     0.120862    -0.196587   -0.0371588    0.0446661    0.125276   0.277672   0.00575222
v_Intercept_subj.16    -0.774293     0.105366    -0.975268    -0.846537    -0.774351   -0.700585  -0.567142    0.0050661
v_Intercept_subj.17     -1.19861     0.145444     -1.48058      -1.2991      -1.1993    -1.09866  -0.908753   0.00657327
v_Intercept_subj.18     -1.25356     0.145145     -1.53776     -1.35537     -1.25364    -1.15271  -0.973308   0.00685228
v_Intercept_subj.19    -0.104045     0.125601    -0.346311    -0.188903    -0.106277  -0.0199285   0.145052    0.0057157
v_Intercept_subj.20      0.28256     0.158709   -0.0259308     0.180073     0.283554    0.390716   0.590259   0.00787331
v_Intercept_subj.21   -0.0610369    0.0951909    -0.251289    -0.125124   -0.0623388  0.00491647   0.120408   0.00468128
v_Intercept_subj.22    -0.920537     0.169139     -1.25173     -1.03345    -0.925372   -0.807263  -0.577914   0.00750923
v_Intercept_subj.23    -0.849213      0.12084     -1.08319    -0.931158    -0.849584   -0.766684  -0.616487    0.0053657
v_Intercept_subj.24     -1.20856     0.173587      -1.5504     -1.32517     -1.21074    -1.08682  -0.874727   0.00791728
v_Intercept_subj.25   -0.0703938     0.103218    -0.277948    -0.140091   -0.0669509 -0.00144231   0.127251   0.00441959
v_Intercept_subj.26   -0.0198794    0.0984368    -0.213847   -0.0854715   -0.0227781   0.0481027   0.173268   0.00444635
v_Intercept_subj.27    -0.700857     0.148264     -1.00491    -0.799381    -0.697308    -0.60051   -0.41402   0.00662085
v_Intercept_subj.28     0.156252     0.154972    -0.153029    0.0527168      0.15534    0.261987    0.45577   0.00696409
v_Intercept_subj.29    -0.474983     0.164723    -0.807338    -0.585806    -0.473694   -0.364639  -0.153314    0.0069567
v_Intercept_subj.30    -0.894862     0.145178     -1.16993    -0.994941    -0.894614   -0.792935  -0.615261   0.00569316
v_Intercept_subj.31     0.259897     0.180873   -0.0942652      0.13646     0.260051    0.385761   0.601675   0.00783299
v_Intercept_subj.32     0.625422     0.147287     0.337813     0.528015      0.62686    0.725652   0.912037   0.00600582
v_Intercept_subj.33     0.287622     0.150248   -0.0206528     0.191845     0.287029    0.382376   0.593458   0.00688959
v_Intercept_subj.34     0.764209     0.167852     0.441231     0.649939     0.767371    0.876522    1.09004   0.00756102
v_Intercept_subj.35     0.394083     0.122427     0.147454     0.312555     0.397707    0.476879   0.626837   0.00449123
v_Intercept_subj.36     0.265861     0.123417    0.0259757     0.183831      0.26561    0.348305   0.506825   0.00501304
v_Intercept_subj.37    -0.422455     0.194385    -0.804248    -0.554044    -0.427406   -0.291422 -0.0359328   0.00870635
v_Intercept_subj.38     0.441975     0.124285     0.203112     0.356482     0.442378    0.530132   0.682495   0.00571914
v_Intercept_subj.39     0.354841     0.143972    0.0723543     0.260984     0.359552    0.450225   0.626027   0.00631354
v_gain                  0.111761   0.00900353    0.0939443     0.105833     0.111719    0.117798   0.129511  0.000248584
v_gain_std             0.0502465   0.00759972     0.037481    0.0450165    0.0494622   0.0547269  0.0676806  0.000270913
v_gain_subj.1           0.182557    0.0291933     0.125541     0.163131     0.182437    0.202094   0.241704   0.00164795
v_gain_subj.2           0.114147    0.0217355    0.0713699    0.0994606     0.114258    0.129204   0.156559   0.00101789
v_gain_subj.3           0.157036     0.019057     0.121437       0.1439     0.157195    0.169835   0.195721  0.000887428
v_gain_subj.4          0.0621105    0.0256592    0.0104992     0.044927    0.0619774   0.0797054   0.111543   0.00120627
v_gain_subj.5           0.153302    0.0223404     0.109167     0.138165     0.153115     0.16925     0.1953   0.00114495
v_gain_subj.6             0.1219    0.0218029    0.0793848     0.106518     0.122172    0.137213   0.163837   0.00109192
v_gain_subj.7           0.130299    0.0197895    0.0924467     0.116051     0.130669    0.144247   0.167598   0.00106524
v_gain_subj.8          0.0841944    0.0188398     0.048172    0.0714753    0.0839408   0.0966116   0.121252   0.00102408
v_gain_subj.9           0.155209    0.0204226     0.112797     0.141858     0.156142    0.169055   0.192456  0.000987813
v_gain_subj.10          0.125792    0.0162526    0.0945858      0.11427     0.126144    0.137323   0.157357  0.000784031
v_gain_subj.11         0.0508856    0.0220799   0.00637646    0.0361991    0.0512595   0.0661108  0.0925743   0.00101739
v_gain_subj.12         0.0628379      0.01685    0.0289082    0.0518619    0.0633221   0.0746288  0.0948611  0.000823367
v_gain_subj.13           0.11478    0.0189647    0.0792036     0.101257     0.114793    0.127878   0.152041  0.000903929
v_gain_subj.14          0.168004    0.0180826     0.131814      0.15572     0.168005    0.180226   0.203543   0.00089723
v_gain_subj.15          0.108146    0.0177836    0.0719995    0.0962909      0.10821    0.120108   0.143146  0.000951236
v_gain_subj.16         0.0884535    0.0142737    0.0600294    0.0787813    0.0884119   0.0977986   0.116491   0.00071656
v_gain_subj.17         0.0938037    0.0197078    0.0551008    0.0804834    0.0938434    0.106752   0.133173  0.000949823
v_gain_subj.18         0.0602007    0.0199734    0.0210041    0.0464106    0.0603086   0.0738007  0.0993866  0.000983108
v_gain_subj.19          0.101753    0.0181207     0.066431    0.0896497     0.101858    0.113849   0.136506   0.00084834
v_gain_subj.20          0.056771    0.0226398    0.0124176     0.041669    0.0571244   0.0717087   0.100539   0.00121072
v_gain_subj.21         0.0476707    0.0145093    0.0216503    0.0371044    0.0471698    0.057164  0.0778148  0.000780535
v_gain_subj.22         0.0330076      0.02667   -0.0190324    0.0151593    0.0329095   0.0511024  0.0867439   0.00128731
v_gain_subj.23         0.0492642    0.0178879    0.0146691     0.037395    0.0491333    0.060947  0.0852168  0.000854259
v_gain_subj.24          0.166841    0.0243466     0.119317     0.150102     0.166376    0.182798   0.214648   0.00113653
v_gain_subj.25         0.0749119    0.0145507    0.0463693    0.0652875    0.0746146   0.0846675   0.104793  0.000655507
v_gain_subj.26          0.121903    0.0153003    0.0926672     0.111826     0.121637    0.132141   0.152414  0.000751042
v_gain_subj.27         0.0528637    0.0209758    0.0124229     0.038151    0.0526915   0.0675193  0.0933295  0.000962084
v_gain_subj.28          0.114174    0.0225965    0.0691928    0.0986155     0.114335    0.129591   0.158072   0.00104575
v_gain_subj.29          0.162943    0.0234563     0.118164     0.146989     0.162751    0.178159   0.211444   0.00097269
v_gain_subj.30         0.0944928     0.020037     0.054323    0.0810366    0.0949195     0.10766   0.134172  0.000835017
v_gain_subj.31          0.201077    0.0267534     0.148697     0.183116     0.200754    0.219369   0.254511   0.00124992
v_gain_subj.32           0.13588    0.0209284     0.095702     0.121334     0.135911    0.149993    0.17673  0.000939668
v_gain_subj.33          0.115625    0.0219396     0.071253      0.10102     0.115783    0.130658   0.157335   0.00106964
v_gain_subj.34          0.176631     0.024565      0.13057     0.159666      0.17686    0.193077   0.224442   0.00123505
v_gain_subj.35          0.176901    0.0195664     0.138491     0.163638     0.176875    0.190305   0.213523  0.000848997
v_gain_subj.36         0.0866659     0.018321    0.0499855    0.0746274    0.0867323   0.0989853   0.122429  0.000818806
v_gain_subj.37          0.120688    0.0276343    0.0666159     0.102703     0.120717    0.139348   0.174696   0.00121821
v_gain_subj.38          0.122234    0.0188156    0.0841502      0.10979     0.121868    0.134705   0.159856  0.000891258
v_gain_subj.39          0.117531    0.0199002    0.0790718      0.10458     0.116728    0.130807   0.157467  0.000963548
v_loss                  0.159674    0.0113821      0.13758     0.152072     0.159631    0.167073   0.182579  0.000209396
v_loss_std             0.0687301   0.00879452    0.0538484    0.0626071    0.0679248   0.0738299  0.0880309   0.00020124
v_loss_subj.1           0.254749     0.019878     0.215045     0.241985     0.254557     0.26793    0.29495  0.000859097
v_loss_subj.2           0.172947    0.0163537     0.140571      0.16227     0.173262    0.183868   0.204543  0.000605653
v_loss_subj.3           0.202609    0.0160371     0.171682     0.191457     0.202506    0.213454   0.234829   0.00056183
v_loss_subj.4           0.133557    0.0190871    0.0961188     0.120366     0.133405    0.146234   0.171812  0.000593434
v_loss_subj.5           0.143784    0.0165707     0.112058     0.132182     0.143717    0.154778   0.176833  0.000567878
v_loss_subj.6           0.150913    0.0151363     0.121207     0.140779     0.150733    0.161291   0.180293  0.000543215
v_loss_subj.7           0.205763    0.0159714     0.173762     0.194814     0.205969    0.216952   0.236056  0.000607047
v_loss_subj.8          0.0558901    0.0113323    0.0345142    0.0481222    0.0556496   0.0635094  0.0788173   0.00040915
v_loss_subj.9           0.199786    0.0168096     0.166454     0.188162      0.20026    0.211528   0.232181  0.000649221
v_loss_subj.10          0.106983    0.0122885    0.0834536    0.0984885     0.106862    0.115003    0.13165   0.00034356
v_loss_subj.11         0.0553353    0.0157187    0.0245304    0.0447058    0.0549687   0.0657506  0.0872007  0.000548672
v_loss_subj.12          0.144963    0.0130774     0.118904      0.13623     0.144967    0.153796   0.170941  0.000458877
v_loss_subj.13          0.128934    0.0143143     0.100567     0.119403     0.129018    0.138405   0.156874  0.000486865
v_loss_subj.14          0.177825     0.013565     0.151018     0.168554     0.177987    0.187192   0.203958  0.000467207
v_loss_subj.15          0.153253    0.0128085     0.128117     0.145041     0.153273    0.161659   0.178014  0.000475497
v_loss_subj.16          0.086621    0.0108046    0.0654347    0.0793302    0.0866351   0.0939719     0.1077   0.00034194
v_loss_subj.17         0.0907095    0.0146758    0.0622047    0.0809986    0.0905627    0.100556   0.119148  0.000473418
v_loss_subj.18         0.0274065    0.0132214   0.00195293    0.0184252    0.0272033   0.0368792  0.0524106  0.000473961
v_loss_subj.19          0.160239    0.0142659     0.132851     0.150411     0.160372    0.169622   0.187766  0.000504402
v_loss_subj.20          0.176679    0.0164823     0.144297     0.165576     0.176584    0.187782   0.208678  0.000564677
v_loss_subj.21          0.110746    0.0106876    0.0902111     0.103423     0.110488    0.117729   0.132055   0.00038862
v_loss_subj.22          0.126945     0.019508     0.089589     0.113421     0.126699    0.140123   0.165574  0.000652614
v_loss_subj.23          0.063029    0.0117112    0.0403398    0.0549856    0.0632604   0.0707498  0.0864971  0.000399841
v_loss_subj.24          0.144162    0.0183278     0.108717     0.131734     0.143828    0.156548   0.179399  0.000655676
v_loss_subj.25          0.163317     0.012802     0.137527     0.154643     0.163481     0.17203    0.18843  0.000401378
v_loss_subj.26          0.134217    0.0109956     0.113235     0.126789     0.134098    0.141756   0.155475  0.000404805
v_loss_subj.27         0.0468114    0.0145617     0.017613    0.0371835    0.0467228   0.0566082  0.0750976  0.000460182
v_loss_subj.28          0.207296    0.0187384      0.17044     0.194603     0.207345    0.220178   0.243406  0.000667313
v_loss_subj.29          0.268624    0.0219297     0.227699     0.252849     0.268498     0.28336   0.312352   0.00063509
v_loss_subj.30          0.133661    0.0164089     0.101259     0.122714     0.133525    0.144451   0.165392   0.00052168
v_loss_subj.31          0.253913    0.0210597     0.212855     0.239009     0.254309    0.268182   0.295248  0.000706401
v_loss_subj.32          0.279692    0.0192732      0.24369      0.26681     0.278812    0.292298   0.319151  0.000761041
v_loss_subj.33          0.185148    0.0165025     0.152957     0.173934     0.185212    0.196465   0.216961  0.000667987
v_loss_subj.34          0.242111    0.0183605     0.207019     0.229167      0.24183    0.255044   0.277898  0.000618543
v_loss_subj.35          0.243769    0.0175411     0.208104     0.232236     0.244066    0.255513   0.279075  0.000662463
v_loss_subj.36           0.20613    0.0160244     0.175633     0.194967     0.206104    0.217124   0.238186  0.000571533
v_loss_subj.37          0.163714    0.0202262     0.122972     0.150357     0.163805    0.177433   0.202399  0.000622958
v_loss_subj.38          0.189464    0.0143864     0.161131     0.179828     0.189399    0.199161   0.217469  0.000523927
v_loss_subj.39          0.239105    0.0173511     0.203523     0.227549     0.239307    0.250822   0.272535  0.000622753
DIC: 23853.757819
deviance: 23674.446659
pD: 179.311159
