                            mean         std         2.5q          25q          50q          75q       97.5q       mc err
a_subj.26                2.38108   0.0892717      2.21841      2.31824      2.37684      2.43983     2.56137   0.00237136
a_subj.27                3.24613    0.142597      2.97857      3.14845      3.24136      3.34099     3.53446   0.00406975
a_subj.28                2.47494   0.0985526      2.29549       2.4076      2.47186      2.53844     2.68147   0.00285249
a_subj.29                3.12225    0.202705      2.76196      2.97992      3.11276      3.25743     3.54972   0.00609473
a_subj.30                 2.3961    0.109975      2.19473      2.31991      2.39451       2.4665     2.62448   0.00300713
a_subj.31                1.94446   0.0825993      1.78926      1.88635      1.94287      1.99835     2.11229   0.00202169
a_subj.32                1.94257   0.0911002      1.77105      1.88129      1.93965      2.00166     2.13458   0.00268743
a_subj.33                2.60849    0.146696      2.33242      2.50912      2.60328      2.70163     2.92388   0.00489425
a_subj.34                2.57921    0.104719      2.38248      2.50674      2.57627      2.64899      2.7911   0.00278069
a_subj.35                1.83726   0.0737169      1.69728      1.78692       1.8348      1.88526     1.99075    0.0019772
a_subj.36                1.93683    0.118509      1.72906       1.8532      1.93006      2.01517     2.18424   0.00338092
a_subj.37                 2.2551   0.0842699      2.09351       2.1973      2.25357      2.31204      2.4226   0.00217159
a_subj.38                2.29754   0.0966767      2.11706      2.22969      2.29522      2.36129     2.49849   0.00257029
a_subj.39                1.60516   0.0611902      1.48974      1.56228      1.60375      1.64422     1.72921   0.00135615
a_subj.40                 2.4707   0.0998528      2.28462      2.40192      2.46591      2.53486     2.68062    0.0030758
a_subj.41                 2.2212    0.096332      2.04208      2.15534      2.21742      2.28311     2.42152   0.00251277
a_subj.42                2.59438    0.116081      2.37419      2.51411      2.59192      2.67298     2.82392   0.00304787
a_subj.43                2.38454   0.0883364      2.21893       2.3243       2.3818      2.44369     2.56057   0.00218188
a_subj.44                2.17348   0.0951364      1.99771      2.10899      2.16887       2.2347     2.37221   0.00278731
a_subj.45                2.52327    0.102432      2.32978      2.45388      2.52081      2.59127     2.72656     0.002092
a_subj.46                3.09171    0.217794      2.70457      2.94385      3.08236      3.23344     3.55476   0.00775531
a_subj.47                 2.4825    0.107546      2.27943      2.41019      2.48009      2.55171     2.70319   0.00316561
a_subj.48                2.42131    0.136087      2.16047      2.32656      2.42112      2.51436     2.70022   0.00409607
a_subj.49                  2.453   0.0924013      2.27977      2.38936      2.45145       2.5142     2.63849   0.00213648
t                       0.423565   0.0162861     0.391901     0.412677     0.423087     0.434128    0.457226  0.000320869
t_std                   0.109253   0.0130877    0.0873611     0.099839       0.1081     0.117322    0.137877  0.000295314
t_subj.1                0.402088   0.0303207     0.338118     0.382132     0.403852     0.423626    0.455998  0.000816306
t_subj.2                0.449515   0.0114016     0.423702     0.442544      0.45078     0.457574      0.4682  0.000272847
t_subj.3                 0.37001   0.0279879     0.311213     0.351958     0.372014     0.390115    0.419421  0.000776718
t_subj.4                0.611393   0.0192881     0.568801     0.599555     0.613019     0.625259    0.643761  0.000526029
t_subj.5                0.356673   0.0166586     0.317796     0.347217     0.359473     0.368685    0.381838  0.000719596
t_subj.6                0.363298   0.0106313     0.339782      0.35679     0.364381     0.370848    0.381301  0.000435729
t_subj.7                0.371337  0.00754164     0.354634     0.367121      0.37222     0.376594    0.383688   0.00020729
t_subj.8                0.353213   0.0205476     0.309471      0.33994     0.354473     0.368303    0.389174  0.000537912
t_subj.9                0.488264   0.0263722     0.429611     0.472228     0.491267     0.507412    0.531443  0.000656932
t_subj.10               0.298719   0.0374872     0.222122      0.27361     0.300423     0.324396    0.368847  0.000980124
t_subj.11               0.504248    0.019944     0.461759     0.492043     0.505529     0.518237    0.539561  0.000529306
t_subj.12               0.342348   0.0197928     0.299403     0.330404      0.34413     0.356369    0.375505  0.000569699
t_subj.13               0.456679   0.0155868      0.42377     0.446709      0.45747     0.467714    0.484489  0.000394604
t_subj.14               0.513944    0.019597     0.471339      0.50185     0.515516     0.527893    0.547364  0.000480408
t_subj.15                0.85983   0.0246365     0.807606     0.844272       0.8618     0.877298    0.902713  0.000622044
t_subj.16               0.377475   0.0175352     0.338675     0.366559     0.379524     0.390299    0.406014  0.000484971
t_subj.17               0.379628  0.00733445     0.363051     0.375294     0.380514     0.384901    0.391407  0.000266952
t_subj.18               0.512928   0.0249445     0.460295     0.496841     0.514324     0.530996    0.557175  0.000651246
t_subj.19               0.195909   0.0278631     0.139068     0.177672     0.196179     0.215383    0.249301   0.00061645
t_subj.20                0.38695   0.0454685     0.280546     0.360302      0.39308     0.421141    0.456009   0.00164117
t_subj.21               0.372089    0.010387     0.348305     0.366161     0.373407     0.378974    0.389839  0.000306498
t_subj.22                0.37249  0.00760439     0.355251     0.367765     0.373232     0.377832     0.38526  0.000269805
t_subj.23               0.368945  0.00885091     0.349585     0.363608     0.369656     0.375301    0.383994  0.000204643
t_subj.24               0.372908   0.0222748     0.316858      0.36221      0.37824     0.388905     0.40172  0.000929581
t_subj.25               0.392707   0.0109014     0.368618     0.385924     0.393724     0.400712    0.410939  0.000294785
t_subj.26               0.394554   0.0229865     0.345941     0.379694     0.396891     0.410917    0.434362  0.000580286
t_subj.27               0.505176   0.0383953     0.426113     0.480186     0.506764     0.532194    0.575778  0.000930735
t_subj.28               0.434293    0.026983      0.37724     0.417398     0.436133     0.452774    0.482387  0.000766209
t_subj.29               0.351953   0.0144849     0.318317     0.343816     0.353903     0.362062    0.375292  0.000484821
t_subj.30                 0.3535   0.0126819     0.324722     0.346247     0.354774     0.362225    0.374751  0.000303778
t_subj.31               0.375645   0.0105387     0.351969     0.369263     0.376813       0.3832     0.39317   0.00032299
t_subj.32                0.37909  0.00787829      0.36127     0.374317     0.379939     0.384631    0.392257  0.000238134
t_subj.33               0.374472   0.0129124     0.345086     0.366534     0.375916     0.383743    0.395314  0.000361353
t_subj.34               0.369114   0.0238394      0.31732     0.354298     0.370829     0.386114    0.410604  0.000729099
t_subj.35               0.565309   0.0108482      0.54029     0.559056      0.56649     0.573054    0.582528  0.000247986
t_subj.36                0.35474   0.0102992     0.331778     0.348496     0.355622     0.362014    0.372188  0.000363707
t_subj.37               0.724647   0.0247488      0.67026     0.709589     0.726059     0.742457     0.76781  0.000628107
t_subj.38               0.499734   0.0203792      0.45405     0.487484     0.501657     0.513924    0.533882  0.000679464
t_subj.39               0.512224  0.00999349      0.49051     0.505987      0.51307     0.519423     0.52941  0.000205972
t_subj.40               0.534934   0.0299894     0.471428     0.514542     0.536615     0.557034    0.587333  0.000935473
t_subj.41               0.356914   0.0111663     0.331407     0.350234     0.358098     0.365001    0.375186  0.000343307
t_subj.42               0.426029   0.0216346     0.378738     0.412561     0.427506     0.441835    0.462798  0.000661259
t_subj.43               0.345067   0.0207289      0.30128     0.331245     0.346699     0.360343    0.381177  0.000524356
t_subj.44               0.528495   0.0196397     0.485928     0.516247     0.529647     0.542204    0.563444  0.000558467
t_subj.45               0.262877   0.0287529     0.203834     0.244192     0.264188     0.283183    0.314941  0.000547556
t_subj.46                0.34715   0.0229951     0.295821     0.333584      0.35013     0.363433    0.384291  0.000752188
t_subj.47               0.380632   0.0118729     0.354296     0.373074     0.381757     0.389403      0.4003  0.000300758
t_subj.48               0.368151  0.00989848     0.345429      0.36221     0.369176     0.375333    0.384233  0.000324043
t_subj.49               0.477061   0.0220032     0.431145     0.462555     0.478324     0.492854    0.516122    0.0004611
z                       0.392944   0.0136043       0.3664     0.383722     0.392598     0.402133    0.419708  0.000334418
z_std                   0.377651   0.0236083     0.333664     0.361261     0.376528     0.393128    0.425666  0.000691979
z_subj.1                0.444019   0.0227854     0.400424      0.42831     0.443939     0.459392    0.488388  0.000566325
z_subj.2                0.417913   0.0266665     0.367795     0.399448     0.417828     0.435866    0.470628  0.000750348
z_subj.3                0.367325   0.0249797     0.320165     0.350019     0.366994     0.383495    0.419344  0.000690045
z_subj.4                0.528217   0.0232471     0.482157     0.512367     0.528265     0.543491    0.573142  0.000620248
z_subj.5                0.215666   0.0398563     0.145793     0.187079     0.213242      0.24116    0.300578   0.00182408
z_subj.6                0.236869   0.0270542     0.188326     0.217664     0.235205     0.254383    0.295234    0.0013224
z_subj.7                0.201049   0.0208501     0.163526      0.18729     0.199731     0.213965    0.246497  0.000720498
z_subj.8                0.546284   0.0243086     0.497793      0.52974     0.546853     0.562521    0.594699  0.000624575
z_subj.9                0.410295    0.027525     0.358812     0.390667     0.409661     0.428953    0.466281  0.000833292
z_subj.10               0.404856   0.0280354     0.351801     0.385621     0.404897     0.424121    0.460854  0.000816768
z_subj.11               0.515146   0.0247998     0.469115      0.49822     0.515346     0.531554    0.565664  0.000603727
z_subj.12               0.669875   0.0235835     0.622964      0.65459     0.669762     0.685821    0.715379  0.000685902
z_subj.13               0.431732   0.0232653     0.387639     0.415903     0.431582     0.447615    0.477772  0.000567251
z_subj.14               0.397225   0.0232393     0.352883     0.380787     0.397171     0.412348    0.444859  0.000560898
z_subj.15                0.54323   0.0243132     0.494579     0.526627     0.544057     0.560088    0.589682  0.000631086
z_subj.16               0.416646   0.0256029     0.367728     0.399416     0.416218     0.433354    0.467999  0.000763902
z_subj.17               0.235374   0.0274775     0.185134      0.21622     0.234804     0.252848    0.292024   0.00116378
z_subj.18               0.463038   0.0236042     0.418771     0.447201     0.462264     0.478519    0.510945  0.000563389
z_subj.19               0.471066   0.0241136     0.423577     0.455285     0.470579     0.487069    0.519211  0.000436007
z_subj.20                0.23249   0.0556211     0.135484     0.193055     0.229101     0.267968    0.348963   0.00212405
z_subj.21               0.392021   0.0270726     0.340356     0.372895     0.391603     0.410201    0.447737  0.000826539
z_subj.22               0.225717    0.022778     0.182375     0.210491     0.225273     0.240266    0.272834  0.000925059
z_subj.23               0.426875   0.0277803      0.37335     0.407753      0.42683     0.445442    0.483431  0.000814032
z_subj.24                0.20972   0.0537524     0.121324     0.171483      0.20361     0.240771    0.332033   0.00240193
z_subj.25               0.429587   0.0265278     0.378035     0.411582     0.428959     0.447208    0.483794  0.000701369
z_subj.26               0.557249   0.0226135     0.511937      0.54214     0.558025     0.572822    0.600439  0.000480275
z_subj.27                 0.5249   0.0217466     0.483729     0.510173     0.524515     0.539632    0.568495  0.000454054
z_subj.28               0.578143   0.0237417      0.53162     0.561823     0.578442     0.594492    0.625592  0.000619442
z_subj.29               0.202559   0.0216869     0.163465     0.187617     0.201113     0.216392    0.250325  0.000859863
z_subj.30               0.331854   0.0261887     0.283261     0.314314     0.330826     0.348656    0.386079  0.000772549
z_subj.31               0.365348   0.0255701     0.317636     0.347716     0.364328      0.38205    0.416846  0.000824139
z_subj.32               0.259798   0.0223077     0.218477     0.244567     0.259016     0.273838    0.307849  0.000797919
z_subj.33               0.283888   0.0250743     0.236725     0.266543     0.283184     0.300552    0.335305  0.000896935
z_subj.34               0.382134   0.0246081     0.336495     0.365324      0.38166     0.398477    0.431466  0.000676595
z_subj.35               0.554747   0.0239141     0.506408     0.538557     0.555193     0.571573    0.601938  0.000585978
z_subj.36               0.335176   0.0326753     0.276468     0.311871     0.333973     0.356871    0.403005   0.00138409
z_subj.37               0.491384   0.0246183     0.440492     0.475477     0.491543      0.50833    0.540288  0.000590719
z_subj.38               0.353317   0.0274596     0.300329     0.334501     0.353025     0.371162    0.411392  0.000861938
z_subj.39               0.485062   0.0234041     0.439638      0.46912     0.484725     0.500731    0.530813  0.000506302
z_subj.40                0.56762   0.0247828      0.51723     0.551081     0.567687     0.584833     0.61439  0.000672585
z_subj.41               0.279041   0.0232915     0.236148     0.262828     0.277824     0.294288     0.32772  0.000802647
z_subj.42               0.389661   0.0270362     0.338054     0.371043     0.388698     0.407773    0.442655  0.000895411
z_subj.43               0.582155   0.0254653      0.53209     0.565229     0.582534     0.600046    0.631533  0.000711169
z_subj.44               0.424704   0.0235308     0.381814     0.408104     0.424301     0.440257    0.472471   0.00057224
z_subj.45               0.531062   0.0279775     0.477015     0.512257     0.530778     0.550342    0.584427  0.000555795
z_subj.46               0.312024   0.0320302     0.252906     0.289793     0.310347     0.333119     0.37892   0.00136713
z_subj.47               0.284915   0.0218109     0.244231     0.269907     0.284964     0.299487    0.326752  0.000695359
z_subj.48               0.262658   0.0235604     0.220812     0.245904     0.261386     0.277916    0.310866  0.000855778
z_subj.49               0.381293   0.0230011     0.338604     0.365507     0.380469     0.396974    0.428204  0.000521143
v_Intercept           -0.0294671   0.0883154    -0.208874   -0.0867662   -0.0281013    0.0297408     0.13724   0.00286719
v_Intercept_std         0.551045   0.0754826     0.418018     0.498041     0.545106     0.598801    0.711348   0.00323848
v_Intercept_subj.1      0.139126    0.167468    -0.194606    0.0291643     0.138945     0.249476    0.474891   0.00754225
v_Intercept_subj.2    -0.0521278    0.246583    -0.541017     -0.21129    -0.055673     0.115386    0.428845    0.0124812
v_Intercept_subj.3      0.458424    0.162047     0.138345     0.347557      0.46028     0.563968    0.787464   0.00809299
v_Intercept_subj.4      0.149857    0.209378    -0.249646   0.00961125      0.14581      0.28886    0.562748    0.0100255
v_Intercept_subj.5     -0.339225    0.361608     -1.05652    -0.575598    -0.331399    -0.100382     0.37241     0.012763
v_Intercept_subj.6      -1.03866    0.287737     -1.59298     -1.22981     -1.05135    -0.848925   -0.460885    0.0153242
v_Intercept_subj.7     -0.398385    0.275113    -0.943618    -0.592142    -0.390386    -0.195939    0.102404    0.0125861
v_Intercept_subj.8    -0.0904562     0.18909    -0.453995    -0.214828   -0.0941584    0.0313654    0.288393   0.00853007
v_Intercept_subj.9     0.0403337    0.163768    -0.278785   -0.0681221    0.0370476     0.148302    0.371773   0.00804529
v_Intercept_subj.10     0.206874    0.121815   -0.0264776     0.126942     0.205521     0.286755    0.448737   0.00579312
v_Intercept_subj.11    0.0838385    0.238432    -0.358083   -0.0795985    0.0788227     0.245193    0.557166    0.0122435
v_Intercept_subj.12    -0.087749    0.174488    -0.426038    -0.204863   -0.0849526    0.0298627    0.256983   0.00781467
v_Intercept_subj.13   0.00859771     0.21159    -0.419199    -0.130757   0.00930189     0.154008    0.415811   0.00896813
v_Intercept_subj.14   -0.0930623    0.222734    -0.528094    -0.233952    -0.094141    0.0460237    0.366928    0.0108349
v_Intercept_subj.15    -0.132634    0.192842    -0.510973    -0.265687    -0.127706  0.000673601    0.237968    0.0099353
v_Intercept_subj.16     0.236099    0.210656     -0.15136    0.0876203     0.231632     0.379106     0.67136    0.0105822
v_Intercept_subj.17     -1.21993    0.364209     -1.94032     -1.46474     -1.22106    -0.979551   -0.491935    0.0199511
v_Intercept_subj.18     0.549266    0.199598     0.156867     0.412429      0.55133     0.686188    0.941416   0.00974962
v_Intercept_subj.19     0.232932     0.18346    -0.111005     0.107415     0.233487     0.357618    0.602932   0.00943844
v_Intercept_subj.20    -0.386931    0.454513     -1.28537    -0.695579    -0.373972    -0.083051    0.506702    0.0195289
v_Intercept_subj.21     0.494904     0.23404    0.0311272     0.340615     0.497424     0.660187    0.937404   0.00999112
v_Intercept_subj.22     0.517662     0.22538    0.0828208     0.364435     0.512636     0.665714    0.964392   0.00912774
v_Intercept_subj.23     0.732655    0.240295     0.279963     0.568298     0.728673     0.891351     1.20909    0.0104038
v_Intercept_subj.24     -0.35361    0.449875      -1.2753    -0.659908    -0.335728   -0.0454653    0.496734    0.0132976
v_Intercept_subj.25     0.394978    0.232216   -0.0551379     0.236566     0.389656      0.55828    0.849698   0.00985239
v_Intercept_subj.26    -0.317706    0.184668    -0.690393    -0.441919    -0.322175    -0.192052   0.0501949   0.00936713
v_Intercept_subj.27     0.408119    0.146662     0.120967     0.310409     0.407984     0.503933    0.693411   0.00711475
v_Intercept_subj.28    -0.157928    0.196372     -0.54664    -0.292561    -0.159047   -0.0194309    0.213888    0.0104479
v_Intercept_subj.29    -0.527202    0.213112    -0.950436    -0.674331    -0.525634    -0.380363   -0.110948    0.0108647
v_Intercept_subj.30   -0.0687712    0.200226    -0.458127    -0.199703   -0.0757302    0.0665897    0.336435   0.00912745
v_Intercept_subj.31     -1.05621     0.28196     -1.63878     -1.24234     -1.04539    -0.860088    -0.53236    0.0150651
v_Intercept_subj.32     0.318926    0.247218    -0.184602     0.147684     0.325513     0.489064     0.79556    0.0110124
v_Intercept_subj.33    -0.551836    0.247687     -1.04994    -0.718278     -0.55201    -0.380831  -0.0755489     0.012106
v_Intercept_subj.34      1.06503    0.170365     0.730887     0.947785      1.06694      1.18583      1.3896   0.00805249
v_Intercept_subj.35    -0.244527    0.243739    -0.720158    -0.411516    -0.246621   -0.0780728    0.229975    0.0106234
v_Intercept_subj.36    -0.662813    0.286543     -1.23206    -0.859008    -0.664163    -0.460424   -0.121602    0.0138215
v_Intercept_subj.37     0.165391    0.182427    -0.195406    0.0432772     0.165974     0.292857     0.51876   0.00872101
v_Intercept_subj.38    -0.115742    0.212724    -0.531394    -0.253758    -0.110702     0.027243    0.288901    0.0107683
v_Intercept_subj.39  0.000863371    0.259382    -0.493371    -0.179581  -0.00118709     0.169258    0.521799    0.0119636
v_Intercept_subj.40    -0.321293    0.185956    -0.675935    -0.450851    -0.322883      -0.1891   0.0366511    0.0105355
v_Intercept_subj.41     0.479303    0.230983   0.00795193     0.329737     0.486794     0.629995    0.923723    0.0119863
v_Intercept_subj.42    -0.519324    0.205898     -0.93185    -0.656723    -0.517148     -0.38291   -0.129414   0.00981564
v_Intercept_subj.43     0.812406    0.197687       0.4229     0.682808     0.816029     0.949526     1.20233   0.00959991
v_Intercept_subj.44     0.375618    0.205498   -0.0280656     0.238668     0.373358      0.51393    0.785582   0.00940602
v_Intercept_subj.45     0.226788    0.194584    -0.150191    0.0969036     0.227689     0.356767    0.604515   0.00921878
v_Intercept_subj.46    -0.628613    0.198755     -1.01537    -0.764149    -0.632852      -0.4976   -0.232645   0.00927111
v_Intercept_subj.47     0.460476    0.206248    0.0719666      0.32018     0.455554     0.592789    0.883503    0.0106809
v_Intercept_subj.48    -0.702964    0.245884     -1.19527    -0.869084    -0.700563    -0.534255   -0.236141    0.0120555
v_Intercept_subj.49    0.0221134    0.184436    -0.335218    -0.102231    0.0146888     0.147744    0.390314   0.00878912
v_gain                 0.0151174  0.00130808    0.0125735     0.014252    0.0151204     0.015979   0.0177023  3.20436e-05
v_gain_std            0.00849522  0.00104597   0.00664944   0.00774586   0.00841357   0.00917865   0.0107493  2.71364e-05
v_gain_subj.1           0.017993  0.00212571    0.0138751    0.0165393    0.0180354    0.0194488   0.0220837  8.75677e-05
v_gain_subj.2          0.0212905  0.00305399    0.0155822     0.019116    0.0212757    0.0233843   0.0273582  0.000125307
v_gain_subj.3         0.00698938  0.00201496   0.00299393   0.00565079   0.00699757   0.00831302   0.0109265  8.25914e-05
v_gain_subj.4          0.0305063  0.00278428    0.0248743    0.0286721    0.0305601    0.0323604   0.0359952  0.000107113
v_gain_subj.5         0.00976267  0.00460131  0.000862759   0.00673866   0.00965201    0.0128972   0.0187061  0.000140826
v_gain_subj.6          0.0101415  0.00296879   0.00439306   0.00816281    0.0101918     0.012211   0.0158156  0.000126747
v_gain_subj.7          0.0124949  0.00329156   0.00612239    0.0102589    0.0124906    0.0147419   0.0190022  0.000146332
v_gain_subj.8          0.0251826  0.00264571    0.0203069    0.0233845     0.025063    0.0269447    0.030761  9.60211e-05
v_gain_subj.9         0.00887482  0.00196525   0.00517294   0.00749124   0.00882775    0.0102469   0.0127471  7.41073e-05
v_gain_subj.10        0.00326423  0.00160275 -7.07962e-05   0.00220698   0.00329271   0.00440095  0.00636142  6.75549e-05
v_gain_subj.11         0.0180481  0.00267153    0.0128345    0.0162126    0.0180484    0.0199186   0.0232696  0.000111304
v_gain_subj.12         0.0202145   0.0023174     0.015685    0.0186224     0.020251    0.0217615   0.0248227  8.96277e-05
v_gain_subj.13         0.0301208  0.00295891    0.0242908    0.0280984    0.0301879    0.0320967   0.0360405  0.000128941
v_gain_subj.14         0.0176179  0.00236266    0.0129304    0.0160875    0.0176462    0.0192751   0.0220471  9.77664e-05
v_gain_subj.15         0.0179099  0.00239267    0.0133204      0.01626    0.0178836    0.0195198   0.0227018  0.000108136
v_gain_subj.16        0.00978335  0.00240052   0.00518522   0.00812931   0.00974931    0.0114067   0.0145122  9.88812e-05
v_gain_subj.17          0.012819  0.00389036   0.00542709    0.0101424    0.0127111    0.0153985   0.0206679  0.000171152
v_gain_subj.18         0.0149564  0.00229842    0.0105562     0.013373    0.0149496    0.0165292   0.0195106  9.70655e-05
v_gain_subj.19       0.000440426  0.00214408  -0.00374287 -0.000998187  0.000432875   0.00187591  0.00467656   9.2979e-05
v_gain_subj.20        0.00700914  0.00649052  -0.00650114   0.00276739   0.00714004    0.0114931   0.0190382  0.000185611
v_gain_subj.21        0.00938211   0.0029916   0.00357944   0.00735041   0.00932514    0.0113453   0.0153932  0.000112922
v_gain_subj.22        0.00785554  0.00294544   0.00196281   0.00593112   0.00795489   0.00985138   0.0135195  0.000106671
v_gain_subj.23         0.0132796  0.00305093   0.00732539    0.0111959    0.0132567    0.0153096   0.0192912  0.000104401
v_gain_subj.24         0.0055581  0.00699073  -0.00830245  0.000829921   0.00566908    0.0103042   0.0191668  0.000173619
v_gain_subj.25          0.015076  0.00304943   0.00892394    0.0130313    0.0151842    0.0171761   0.0207869  0.000113876
v_gain_subj.26         0.0266662   0.0026269    0.0213379    0.0249102     0.026726     0.028481    0.031573  0.000111536
v_gain_subj.27         0.0230458  0.00219231    0.0186875    0.0215745    0.0230161    0.0244845   0.0274621  0.000104664
v_gain_subj.28         0.0215065   0.0023402     0.017093    0.0199121    0.0214369    0.0230158   0.0263764  0.000104672
v_gain_subj.29        0.00636682  0.00230322   0.00187759   0.00477872   0.00636472   0.00796209   0.0108701  0.000100133
v_gain_subj.30         0.0143981  0.00251117   0.00941725    0.0127211    0.0144072    0.0160744   0.0194113  9.30537e-05
v_gain_subj.31         0.0326322  0.00324551     0.026477     0.030375    0.0325508    0.0348376   0.0391893  0.000163445
v_gain_subj.32           0.01686  0.00316065    0.0106856    0.0147094    0.0168818    0.0189678   0.0230493  0.000107884
v_gain_subj.33         0.0101473  0.00266037   0.00509047   0.00827268    0.0101371    0.0120127   0.0152821  0.000113558
v_gain_subj.34        0.00932764  0.00222194   0.00509113   0.00775075   0.00925655    0.0108668   0.0137866  8.84033e-05
v_gain_subj.35         0.0223448  0.00282054    0.0168186    0.0204235    0.0223129    0.0242895   0.0278868  0.000106714
v_gain_subj.36         0.0141949  0.00313639   0.00810688    0.0120446    0.0142192    0.0163994    0.020216  0.000126454
v_gain_subj.37          0.017458  0.00233792    0.0128499    0.0158549    0.0174412    0.0190509   0.0220333  8.62808e-05
v_gain_subj.38        0.00801718  0.00253831    0.0031993   0.00629163   0.00792822   0.00968338   0.0131479  0.000104171
v_gain_subj.39         0.0233094  0.00321471    0.0168474    0.0211279    0.0233088     0.025512   0.0296119  0.000128172
v_gain_subj.40          0.025379  0.00241576     0.020747    0.0237558    0.0254366    0.0269825   0.0301208  0.000107544
v_gain_subj.41        0.00864473  0.00287451   0.00288845   0.00673261   0.00861107     0.010516   0.0146005  0.000127184
v_gain_subj.42         0.0171715  0.00266593    0.0116626    0.0153679    0.0172394    0.0190244   0.0222306   0.00010847
v_gain_subj.43         0.0104645   0.0024133   0.00586949   0.00883422    0.0104128    0.0121035   0.0151893  9.47218e-05
v_gain_subj.44         0.0243432   0.0026876    0.0193137    0.0224613    0.0243299     0.026158   0.0296124  0.000106729
v_gain_subj.45        0.00854386  0.00238936      0.00383   0.00694716   0.00853403    0.0101926   0.0132203  8.77113e-05
v_gain_subj.46         0.0020536  0.00228658  -0.00242117  0.000503022    0.0020718   0.00362835  0.00647401  9.69999e-05
v_gain_subj.47         0.0108365  0.00268694   0.00548736   0.00900102     0.010907    0.0126864    0.016106  0.000122692
v_gain_subj.48         0.0219395  0.00309034     0.015917    0.0198053    0.0218807    0.0240851   0.0281947  0.000142855
v_gain_subj.49         0.0173613  0.00226867    0.0128578    0.0158387    0.0173945    0.0189807   0.0215468  8.85857e-05
v_loss                 0.0224685  0.00143642    0.0196725     0.021527    0.0224813    0.0234306   0.0252772  2.62277e-05
v_loss_std            0.00959682  0.00117515   0.00757391   0.00877316    0.0095026    0.0103087   0.0121624    3.282e-05
v_loss_subj.1          0.0209537  0.00210641    0.0167363    0.0195774    0.0209872    0.0223453   0.0250188  8.23879e-05
v_loss_subj.2          0.0304609  0.00313932    0.0241455     0.028361    0.0304822    0.0325452   0.0365653  0.000128645
v_loss_subj.3          0.0229333  0.00215459    0.0187433    0.0214755    0.0229197    0.0243688   0.0272159  8.82536e-05
v_loss_subj.4          0.0303281   0.0028429    0.0246758    0.0284387    0.0303276    0.0322346   0.0360107    0.0001173
v_loss_subj.5          0.0284154  0.00563549    0.0173871    0.0247395      0.02826    0.0322649   0.0396006  0.000155414
v_loss_subj.6         0.00874206  0.00285727   0.00301059   0.00678598   0.00879494    0.0107423      0.0142  0.000121145
v_loss_subj.7           0.014958  0.00314798   0.00885622    0.0128021    0.0150963    0.0171043   0.0209894  0.000104794
v_loss_subj.8          0.0204251  0.00231099    0.0157035     0.018891    0.0204575    0.0219553   0.0249124  0.000100069
