                                mean         std         2.5q          25q         50q         75q       97.5q       mc err
a_subj.25                    3.40826    0.117858      3.19105      3.32769     3.40441     3.48539     3.64774   0.00266978
a_subj.26                    3.48952    0.125226      3.25166      3.39979     3.48962      3.5737     3.73725   0.00346026
a_subj.27                    2.38613   0.0843524      2.22665      2.32864     2.38378      2.4419     2.55714   0.00203134
a_subj.28                    2.14201    0.071554      2.00744      2.09349     2.13962     2.19072      2.2866    0.0014078
a_subj.29                    2.03712   0.0712517      1.90131      1.98973     2.03616     2.08425     2.17964   0.00145161
a_subj.30                    2.46414   0.0973805      2.27874      2.39758     2.46232     2.52775     2.65741   0.00234332
a_subj.31                    1.86411   0.0682647      1.73773      1.81761     1.86284     1.90789     2.00023   0.00179055
a_subj.32                    2.28018   0.0848961      2.11886      2.22263     2.27741     2.33628      2.4559   0.00214951
a_subj.33                    2.22481   0.0724526      2.08479      2.17609     2.22324      2.2711      2.3696   0.00170377
a_subj.34                    2.21251   0.0846785      2.05442      2.15286     2.20989     2.26893     2.38061   0.00190079
a_subj.35                    2.71084    0.108924      2.50481      2.63619     2.70927     2.78162     2.93695   0.00315556
a_subj.36                    2.63741   0.0864316      2.46913      2.57858      2.6343     2.69365     2.81174   0.00181307
a_subj.37                     1.7289   0.0569012      1.62219      1.68934      1.7272     1.76658     1.84314    0.0011853
a_subj.38                    2.80674    0.112247      2.59961      2.72844     2.80157     2.88066     3.03617    0.0033401
a_subj.39                     2.4645   0.0888343       2.2987      2.40502     2.46298     2.52174     2.64689    0.0024062
t                           0.427055   0.0436715     0.348157     0.396436    0.424656    0.454042    0.521644   0.00108077
t_std                       0.278072   0.0456314     0.205217     0.245834    0.272638    0.304658    0.380378   0.00132656
t_subj.1                    0.326509   0.0118713     0.299494     0.319096    0.328012    0.335174    0.345999  0.000269011
t_subj.2                    0.529275   0.0212236      0.48345     0.515871    0.530512    0.544324    0.567436  0.000505207
t_subj.3                    0.508356   0.0221944     0.456406     0.495203    0.510848    0.524195     0.54474  0.000705431
t_subj.4                    0.388091    0.011636     0.362791     0.380945    0.389043    0.396489    0.408231  0.000284297
t_subj.5                    0.472877   0.0142541     0.440051     0.464001    0.474391    0.483151    0.496284  0.000361273
t_subj.6                    0.516534   0.0153325     0.482335     0.507592     0.51833    0.527414    0.541572   0.00034429
t_subj.7                    0.513966   0.0237809     0.462606     0.499274    0.515717    0.530548    0.555979  0.000564338
t_subj.8                    0.351791   0.0178796     0.311347     0.340813    0.353492    0.364616    0.381455  0.000509653
t_subj.9                    0.439126   0.0279415     0.378272     0.421959    0.440878    0.458825    0.486818  0.000722912
t_subj.10                   0.308083   0.0216914     0.260172     0.295044    0.310353    0.323596    0.344706  0.000609692
t_subj.11                 0.00171758  0.00113978  0.000205497  0.000871274  0.00147448  0.00236037  0.00446473  2.24102e-05
t_subj.12                   0.374921   0.0270201      0.31653     0.357924    0.377108    0.394664    0.421385  0.000730869
t_subj.13                   0.344555   0.0224649       0.2933     0.331292      0.3471    0.360581    0.381539  0.000595636
t_subj.14                   0.357072      0.0386     0.273542     0.332116    0.359533    0.383535    0.427458   0.00116897
t_subj.15                   0.435896   0.0343656     0.360895     0.414552    0.438931     0.46002    0.494446  0.000967444
t_subj.16                   0.219504   0.0282554     0.158716     0.202636    0.221115    0.239583    0.267885  0.000943157
t_subj.17                   0.452035   0.0110729     0.427047     0.445467    0.453237    0.460032    0.470305  0.000268585
t_subj.18                  0.0846246   0.0234543     0.035096    0.0697636   0.0862005    0.101249    0.125222  0.000823155
t_subj.19                   0.574608   0.0202549     0.529267     0.562605    0.577339    0.589293    0.607303  0.000450609
t_subj.20                   0.484322   0.0182721     0.445313     0.472931    0.485993    0.496812    0.516761  0.000418647
t_subj.21                  0.0516356   0.0244378   0.00971873    0.0332052   0.0503062   0.0683215     0.10284  0.000554269
t_subj.22                   0.263605   0.0148986     0.230365      0.25473    0.265027     0.27414    0.288668  0.000427166
t_subj.23                   0.409685   0.0288941      0.34435     0.392435    0.413218    0.430549    0.456012  0.000816256
t_subj.24                   0.368378   0.0116279     0.342978     0.361037    0.369385    0.376686    0.388001  0.000233307
t_subj.25                   0.478423   0.0351666     0.403496     0.456476    0.481449    0.503088    0.540233  0.000969004
t_subj.26                   0.271985   0.0533315     0.157113     0.237595    0.275154     0.31042    0.365882   0.00152844
t_subj.27                   0.369213   0.0117088     0.343285     0.362231    0.370374    0.377694    0.388601  0.000310774
t_subj.28                   0.530071    0.011503      0.50348     0.523159    0.531422    0.538256    0.548879  0.000246658
t_subj.29                   0.484505   0.0106061     0.461099     0.478001    0.485504    0.492082    0.502296  0.000265433
t_subj.30                   0.558368   0.0158648     0.521809     0.549356    0.559814    0.569492     0.58462  0.000527391
t_subj.31                   0.570579   0.0127106     0.542636     0.563124    0.571775    0.579521    0.591529  0.000333197
t_subj.32                    0.65154   0.0205036     0.607769     0.638733    0.652878    0.666079    0.687115  0.000503279
t_subj.33                   0.572299   0.0161388     0.535916     0.562524    0.573633    0.583653    0.599276  0.000385828
t_subj.34                   0.530668   0.0149131     0.496925      0.52152    0.532221    0.541064    0.555736  0.000396424
t_subj.35                   0.571265   0.0294445     0.510646     0.551977    0.573392    0.591905    0.625058  0.000963659
t_subj.36                   0.474127   0.0195883     0.429384     0.461769    0.476159    0.488497    0.506031  0.000471461
t_subj.37                   0.454991   0.0107615     0.431482      0.44818    0.456003    0.462743    0.473263   0.00023854
t_subj.38                   0.557125   0.0370982     0.478476     0.533483    0.558334    0.583297    0.623867   0.00116862
t_subj.39                   0.484962    0.026496     0.426444     0.469017    0.486596    0.503223    0.532109  0.000687045
z                            0.42984   0.0126189     0.404956     0.421454    0.429819    0.438242    0.453966  0.000260718
z_std                       0.309887   0.0223899     0.268232     0.294357     0.30934    0.324552    0.355076   0.00047019
z_subj.1                    0.598801    0.025485     0.546388     0.582218    0.599249    0.616522    0.646024  0.000862828
z_subj.2                    0.488877   0.0207334     0.447982     0.474793    0.488831    0.502936    0.529463  0.000446075
z_subj.3                    0.321458   0.0235251     0.278279      0.30491    0.320908    0.336557    0.370235  0.000855171
z_subj.4                    0.421134   0.0282461      0.36806     0.402347    0.420364     0.43972    0.479637  0.000970072
z_subj.5                    0.505502   0.0250867     0.455608     0.488807    0.506092    0.522866    0.552796  0.000607372
z_subj.6                    0.559309   0.0224762     0.513703     0.544616    0.559512    0.574556    0.602191  0.000563093
z_subj.7                    0.473441   0.0221232     0.429926     0.458621    0.473414    0.488083    0.516497  0.000517478
z_subj.8                    0.260738   0.0188916     0.225689     0.247764    0.260043    0.272699    0.299858  0.000645827
z_subj.9                    0.498914   0.0212241     0.458382      0.48384     0.49881     0.51309    0.541281  0.000442568
z_subj.10                   0.288521   0.0231804     0.245105     0.272362    0.287256    0.303722    0.337215  0.000908311
z_subj.11                   0.438216   0.0264875     0.386908     0.420334    0.437797    0.455581    0.491687  0.000808764
z_subj.12                   0.375255   0.0230474     0.330914     0.359466    0.374857    0.390745     0.42159  0.000634377
z_subj.13                   0.420155   0.0246461     0.372677     0.403507    0.419661    0.437067    0.469124  0.000811669
z_subj.14                     0.4272   0.0212417     0.388022     0.412331    0.426802    0.441765    0.470314  0.000544031
z_subj.15                   0.445499   0.0212126     0.404482     0.431331    0.445229    0.459458    0.489151  0.000546895
z_subj.16                   0.232659   0.0220037     0.192181     0.217626    0.232009     0.24697    0.278351  0.000899814
z_subj.17                   0.285286   0.0214385     0.245084     0.270463     0.28485    0.298959    0.330558  0.000705534
z_subj.18                   0.301472   0.0271772     0.249129     0.282523    0.301444    0.319448    0.356141   0.00109199
z_subj.19                   0.411147   0.0220322     0.367652     0.396369    0.411192     0.42618    0.452698  0.000567212
z_subj.20                   0.518155   0.0211176     0.478836     0.503191    0.518118    0.532497    0.559577  0.000446973
z_subj.21                   0.379624    0.022031     0.337693     0.363742    0.379999    0.394424    0.422123  0.000622131
z_subj.22                   0.367861   0.0281811     0.313294     0.348557    0.367582    0.386467    0.424392   0.00102829
z_subj.23                   0.372603   0.0268498     0.319568     0.354196      0.3729    0.390036    0.426756  0.000944148
z_subj.24                   0.469637   0.0225583      0.42553     0.454658    0.469312    0.484644    0.514717  0.000516232
z_subj.25                   0.351754   0.0222381     0.308687     0.336251    0.351845    0.366691    0.396083  0.000642904
z_subj.26                   0.492352   0.0201223     0.453429     0.478857    0.492093    0.505373    0.531923  0.000421739
z_subj.27                    0.29636   0.0205548      0.25698     0.281836    0.296254    0.310091    0.337564  0.000607313
z_subj.28                   0.449658    0.023917      0.40358     0.433662    0.449363    0.465569    0.498274  0.000572784
z_subj.29                   0.354138   0.0222435     0.310713     0.339294    0.353631    0.368479    0.399116  0.000592065
z_subj.30                   0.349638   0.0235634     0.304809     0.333566    0.349022    0.365062    0.398129  0.000797366
z_subj.31                    0.53506   0.0211747      0.49274     0.520844    0.535474    0.549751    0.575956  0.000418831
z_subj.32                   0.572778   0.0213506     0.529693     0.559156    0.573217    0.586908    0.614458  0.000496962
z_subj.33                   0.558371   0.0214989     0.516271     0.543881    0.558413    0.573116    0.599738  0.000475247
z_subj.34                    0.58408   0.0236886     0.538411     0.568324    0.584084    0.600392    0.631002   0.00063174
z_subj.35                   0.585757    0.021212     0.545326     0.571139    0.585377    0.599705    0.629027  0.000569914
z_subj.36                   0.370655   0.0212525     0.330084      0.35606    0.370303    0.384813    0.414153  0.000560453
z_subj.37                   0.445621   0.0221194     0.403737     0.430369    0.445163    0.460696     0.48907  0.000490431
z_subj.38                   0.544446   0.0215612     0.501733     0.529884     0.54445    0.558975    0.586321  0.000481049
z_subj.39                   0.521324   0.0206262     0.479644     0.507428    0.521528    0.535384    0.561334  0.000515965
v_Intercept                -0.492246   0.0600484    -0.610926    -0.531959    -0.49232   -0.452106   -0.373699  0.000934315
v_Intercept_std             0.366506   0.0483404     0.289123     0.332657    0.361028    0.395665    0.473241   0.00102888
v_Intercept_subj.1          0.552796     0.10406     0.346924     0.483044    0.553284    0.621636    0.760274   0.00297083
v_Intercept_subj.2         -0.326911   0.0836414    -0.489923    -0.383399   -0.326712   -0.270406    -0.16339   0.00195251
v_Intercept_subj.3         -0.732382   0.0884087    -0.909458    -0.791365   -0.733679   -0.673312   -0.557729   0.00287962
v_Intercept_subj.4          -1.16802    0.115936     -1.39403     -1.24986    -1.16294    -1.08885   -0.950712    0.0031118
v_Intercept_subj.5         -0.858827   0.0938582     -1.04973    -0.920607   -0.860608   -0.795455   -0.676125    0.0021459
v_Intercept_subj.6         -0.387843   0.0842348    -0.549455    -0.443985   -0.386781   -0.330358   -0.214255   0.00205024
v_Intercept_subj.7         -0.397494    0.078627    -0.547257    -0.450314   -0.397185   -0.346089   -0.243596   0.00171171
v_Intercept_subj.8         -0.504845   0.0680716    -0.636755    -0.551417   -0.506256   -0.458887   -0.367958   0.00166792
v_Intercept_subj.9         -0.531884   0.0780738    -0.686505    -0.583877   -0.532795     -0.4799   -0.375794    0.0019023
v_Intercept_subj.10        -0.798154   0.0781792    -0.951514    -0.851915   -0.798301   -0.744791   -0.646739    0.0021957
v_Intercept_subj.11         -1.03602    0.087922     -1.20894     -1.09397    -1.03585   -0.977554   -0.865865    0.0020349
v_Intercept_subj.12        -0.365376   0.0687397    -0.498055    -0.411729   -0.365558    -0.31871   -0.230278   0.00162953
v_Intercept_subj.13        -0.708151    0.077296    -0.862249    -0.757508   -0.709637   -0.657096   -0.558788   0.00236093
v_Intercept_subj.14        -0.401715    0.066811    -0.530043    -0.448066   -0.401987   -0.356586   -0.267668   0.00172223
v_Intercept_subj.15         -0.18245   0.0631345    -0.308092    -0.223765   -0.181158   -0.139642  -0.0616544   0.00146936
v_Intercept_subj.16        -0.456223    0.061036    -0.574096    -0.496922   -0.457557    -0.41445   -0.335125   0.00161139
v_Intercept_subj.17        -0.805861   0.0893617    -0.980338    -0.864363   -0.805109   -0.747156   -0.631911   0.00222841
v_Intercept_subj.18        -0.765184   0.0770001    -0.915173    -0.817002   -0.765467    -0.71418   -0.609239   0.00206618
v_Intercept_subj.19        -0.336685   0.0740877    -0.479213     -0.38637   -0.337733   -0.285258   -0.193061   0.00197161
v_Intercept_subj.20        -0.551816   0.0871325    -0.720923    -0.610723   -0.549349   -0.492712   -0.385162   0.00207934
v_Intercept_subj.21        -0.311677   0.0538371    -0.416552    -0.347778   -0.311519   -0.275571    -0.20536   0.00144786
v_Intercept_subj.22         -1.15757    0.112262     -1.37534     -1.23362    -1.15552    -1.08052     -0.9377   0.00298268
v_Intercept_subj.23        -0.787023   0.0669743    -0.922902    -0.831245   -0.785357   -0.742365   -0.660109   0.00167108
v_Intercept_subj.24        -0.978405   0.0983934     -1.16379     -1.04259   -0.979587   -0.914898   -0.781258   0.00230184
v_Intercept_subj.25        -0.378088   0.0652682     -0.50559    -0.422406   -0.379243   -0.334074   -0.250936    0.0017148
v_Intercept_subj.26        -0.101043   0.0489825    -0.197932    -0.134013   -0.101125  -0.0674997 -0.00334707   0.00112487
v_Intercept_subj.27        -0.291219   0.0785628    -0.447339    -0.344593   -0.290586   -0.237681   -0.138373   0.00173166
v_Intercept_subj.28        -0.345108   0.0921648    -0.532271    -0.405782   -0.344552   -0.281856   -0.167271   0.00234979
v_Intercept_subj.29         -0.75803    0.111796    -0.976006    -0.834112   -0.757915   -0.685384   -0.529308   0.00313796
v_Intercept_subj.30        -0.846952   0.0940361     -1.02775    -0.909864   -0.845508   -0.784202   -0.658479   0.00285498
v_Intercept_subj.31        -0.213557    0.101635    -0.411995    -0.281481   -0.213223   -0.146544  -0.0157915   0.00222625
v_Intercept_subj.32        -0.473159   0.0890933    -0.642856    -0.532872   -0.476522   -0.415156   -0.295197   0.00206165
v_Intercept_subj.33        -0.328624   0.0822119    -0.491722    -0.383351   -0.327882   -0.273164   -0.166734   0.00188742
v_Intercept_subj.34        0.0858163   0.0947665   -0.0992539     0.019396   0.0891057    0.149679    0.268921    0.0024161
v_Intercept_subj.35        -0.238812   0.0759097    -0.388278    -0.287698    -0.23839   -0.189546  -0.0869244   0.00180975
v_Intercept_subj.36        -0.221753   0.0757835    -0.369712    -0.271869     -0.2222   -0.170277  -0.0751401   0.00197843
v_Intercept_subj.37        -0.573653    0.103756    -0.782079    -0.644065   -0.571331   -0.502294    -0.36918   0.00239579
v_Intercept_subj.38        -0.101426    0.070897    -0.242547    -0.148196   -0.101425   -0.055453   0.0378347   0.00153671
v_Intercept_subj.39        -0.477051   0.0818435    -0.634883    -0.530522   -0.477223   -0.422222   -0.309495   0.00216703
v_I(gain + loss)            0.149898   0.0108622     0.128625     0.142673    0.149835    0.156953    0.171029  0.000182876
v_I(gain + loss)_std       0.0658307  0.00836488    0.0515376    0.0598505   0.0651223    0.071048   0.0843604   0.00019141
v_I(gain + loss)_subj.1     0.265344   0.0206285     0.225853     0.251354    0.264977    0.279304    0.305828  0.000415506
v_I(gain + loss)_subj.2     0.164514   0.0166887      0.13216     0.153558    0.164611    0.175708    0.197514  0.000296784
v_I(gain + loss)_subj.3     0.184405   0.0162814     0.153086     0.173556    0.184543    0.195157      0.2165  0.000433441
v_I(gain + loss)_subj.4     0.112247   0.0193509     0.073676    0.0996334    0.112299     0.12501    0.149445  0.000359153
v_I(gain + loss)_subj.5     0.149073   0.0164171     0.116594     0.138123    0.148622    0.160476    0.181034  0.000283241
v_I(gain + loss)_subj.6      0.15217   0.0154859     0.122032     0.141635    0.152131    0.162733    0.182768  0.000314216
v_I(gain + loss)_subj.7     0.192028   0.0163948     0.159452     0.181295    0.191884    0.203217    0.224302  0.000290945
v_I(gain + loss)_subj.8    0.0510197   0.0115992    0.0284462    0.0429775   0.0508919   0.0590972   0.0733492  0.000211913
v_I(gain + loss)_subj.9     0.196159    0.016837     0.163016     0.184919    0.195982    0.207474    0.229473  0.000336989
v_I(gain + loss)_subj.10     0.10515   0.0127575    0.0798069    0.0964878    0.105539     0.11387    0.129387  0.000297143
v_I(gain + loss)_subj.11   0.0496859   0.0157211    0.0188924    0.0391064    0.049577   0.0601912   0.0816757  0.000303564
v_I(gain + loss)_subj.12    0.127115   0.0137343      0.10007     0.117818    0.127037    0.136428    0.153557  0.000266268
v_I(gain + loss)_subj.13    0.124831   0.0143909    0.0971697     0.115025     0.12492    0.134564    0.153131  0.000284299
v_I(gain + loss)_subj.14    0.179819   0.0143888     0.151959     0.169941    0.179844     0.18943    0.208395  0.000311777
v_I(gain + loss)_subj.15    0.147426    0.012836     0.122169     0.138829    0.147217    0.156152    0.172119  0.000248483
v_I(gain + loss)_subj.16   0.0851012   0.0113859    0.0628278    0.0773993   0.0850691   0.0929762     0.10696  0.000266502
v_I(gain + loss)_subj.17   0.0887083   0.0149625    0.0584352    0.0789162    0.088694   0.0989267    0.118489  0.000305256
v_I(gain + loss)_subj.18   0.0329338   0.0133199   0.00716871    0.0237949   0.0330226   0.0419909   0.0587599  0.000236099
v_I(gain + loss)_subj.19    0.144151   0.0143979     0.115704     0.134492    0.144118     0.15383    0.173204  0.000323049
v_I(gain + loss)_subj.20     0.14962   0.0165902     0.118485     0.138148     0.14922    0.160686    0.182006  0.000328051
v_I(gain + loss)_subj.21   0.0912069   0.0101767    0.0718187    0.0842648   0.0910641   0.0982357    0.110913  0.000208157
v_I(gain + loss)_subj.22   0.0989007   0.0201826    0.0578581    0.0854321     0.09863    0.113015    0.137621  0.000346692
v_I(gain + loss)_subj.23   0.0573132   0.0122012     0.032607    0.0493051   0.0573868   0.0656768    0.081223  0.000240162
v_I(gain + loss)_subj.24    0.155047   0.0188586     0.117867     0.142162    0.154957    0.167891    0.191972  0.000360413
v_I(gain + loss)_subj.25    0.126092   0.0124311     0.101689     0.117609    0.125995    0.134559    0.149671  0.000259236
v_I(gain + loss)_subj.26    0.134006   0.0112385       0.1118     0.126589    0.133883    0.141533    0.156686  0.000209516
v_I(gain + loss)_subj.27   0.0483606   0.0160546    0.0174064    0.0374708   0.0480696   0.0597133   0.0796471  0.000253243
v_I(gain + loss)_subj.28    0.188446   0.0180514     0.152423     0.176444    0.188645    0.200778    0.222704  0.000360828
v_I(gain + loss)_subj.29    0.229812   0.0209033     0.188635     0.215677    0.230008    0.243725    0.270937  0.000502612
v_I(gain + loss)_subj.30    0.119469    0.016934    0.0858601     0.107894    0.119708    0.130891    0.152579  0.000384449
v_I(gain + loss)_subj.31    0.260094   0.0209982     0.218758     0.245887      0.2599    0.273844    0.301041  0.000423726
v_I(gain + loss)_subj.32    0.242842    0.018986     0.204371     0.230796    0.242742    0.255353    0.280103  0.000378536
v_I(gain + loss)_subj.33    0.176224   0.0167119     0.143219      0.16525    0.176464    0.187566    0.208494  0.000290513
v_I(gain + loss)_subj.34    0.247945   0.0193844      0.21077     0.235088    0.247663    0.260585    0.287999   0.00036083
v_I(gain + loss)_subj.35     0.24562   0.0176569     0.210843     0.234573    0.245493    0.257372    0.279997  0.000367437
v_I(gain + loss)_subj.36    0.166937   0.0154592     0.136919     0.156409    0.166824     0.17727    0.197788  0.000339774
v_I(gain + loss)_subj.37    0.161893    0.020863     0.118527     0.148295    0.162228    0.175877    0.201407    0.0003398
v_I(gain + loss)_subj.38    0.180821   0.0145964     0.152191     0.171117    0.180972    0.190603    0.209873   0.00028958
v_I(gain + loss)_subj.39      0.1998   0.0165683     0.168076     0.188378    0.199599     0.21125    0.232313  0.000374117
DIC: 23482.164221
deviance: 23300.390712
pD: 181.773508
